epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,805.173,0.23108,0.26806,0.19915,0.79271,0.99453,0.9886,0.99281,0.99053,0.99453,0.9886,0.99281,0.89261,0.14956,0.19895,0.14565,0.76646,0.000381899,0.000381899,0.000381899
118,811.91,0.23289,0.2677,0.20069,0.79588,0.99233,0.98571,0.99286,0.99032,0.99233,0.98571,0.99286,0.88624,0.15149,0.20094,0.14902,0.76673,0.000374383,0.000374383,0.000374383
119,818.602,0.23328,0.26749,0.19565,0.80074,0.9914,0.98571,0.9931,0.98992,0.9914,0.98571,0.9931,0.89076,0.1505,0.20278,0.14714,0.76585,0.000366899,0.000366899,0.000366899
120,825.322,0.23521,0.2713,0.20446,0.79645,0.99315,0.98571,0.99172,0.98819,0.99315,0.98571,0.99172,0.8896,0.14823,0.20129,0.14974,0.76625,0.00035945,0.00035945,0.00035945
121,832.014,0.23636,0.27852,0.20029,0.79911,0.99277,0.98571,0.9911,0.98846,0.99277,0.98571,0.9911,0.88509,0.14811,0.20156,0.14797,0.76532,0.000352037,0.000352037,0.000352037
122,838.763,0.23292,0.27109,0.20399,0.79868,0.99338,0.98571,0.99143,0.98879,0.99338,0.98571,0.99143,0.88663,0.1475,0.20284,0.14268,0.76551,0.000344661,0.000344661,0.000344661
123,845.577,0.22964,0.26783,0.19338,0.79893,0.99336,0.98571,0.99119,0.988,0.99336,0.98571,0.99119,0.89017,0.1481,0.19884,0.14744,0.76552,0.000337325,0.000337325,0.000337325
124,852.326,0.2297,0.27548,0.19249,0.79589,0.99231,0.98571,0.99043,0.98759,0.99231,0.98571,0.99043,0.8945,0.14593,0.19799,0.14428,0.76578,0.00033003,0.00033003,0.00033003
125,859.046,0.22678,0.27472,0.19481,0.79474,0.98733,0.98571,0.99053,0.98793,0.98733,0.98571,0.99053,0.89276,0.14302,0.19796,0.15493,0.76609,0.000322778,0.000322778,0.000322778
126,865.766,0.2309,0.27441,0.19756,0.80183,0.99223,0.98571,0.99138,0.98874,0.99223,0.98571,0.99138,0.89049,0.14769,0.19467,0.15246,0.76659,0.000315572,0.000315572,0.000315572
127,872.48,0.22943,0.2761,0.1977,0.79922,0.99307,0.98571,0.99057,0.98908,0.99307,0.98571,0.99057,0.89426,0.14932,0.20201,0.15694,0.76779,0.000308412,0.000308412,0.000308412
128,879.188,0.23346,0.27002,0.19532,0.8001,0.99136,0.98571,0.99024,0.98811,0.99136,0.98571,0.99024,0.89382,0.14847,0.19378,0.15501,0.76628,0.0003013,0.0003013,0.0003013
129,886.037,0.22465,0.25486,0.19028,0.7986,0.99231,0.98571,0.99081,0.98832,0.99231,0.98571,0.99081,0.89111,0.14789,0.1951,0.14973,0.76717,0.000294239,0.000294239,0.000294239
